,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,,BCFG,BR,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
16,1.0,2007-05-09,77.0,61.0,69.0,13.0,59.0,63.0,0.0,4.0,0438,1858,BR HZ,0.0,0.13,29.21,29.94,3.9,9.0,6.2,2007,5,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.0,2007-05-09,76.0,63.0,70.0,,60.0,63.0,0.0,5.0,-,-,BR HZ,,0.02,29.28,29.93,3.9,7.0,5.9,2007,5,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,2007-05-10,84.0,56.0,70.0,14.0,52.0,60.0,0.0,5.0,0437,1859,BR,0.0,0.0,29.2,29.92,0.7,17.0,4.1,2007,5,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2.0,2007-05-10,83.0,59.0,71.0,,52.0,61.0,0.0,6.0,-,-,BR HZ,,0.0,29.26,29.91,2.0,9.0,3.9,2007,5,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,2007-05-11,70.0,51.0,61.0,4.0,42.0,51.0,4.0,0.0,0436,1860, ,0.0,0.0,29.33,30.04,11.3,3.0,12.9,2007,5,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2.0,2007-05-11,73.0,49.0,61.0,,44.0,51.0,4.0,0.0,-,-, ,,0.0,29.39,30.03,11.7,36.0,12.8,2007,5,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,2007-05-12,64.0,46.0,55.0,-2.0,36.0,46.0,10.0,0.0,0435,1901, ,0.0,0.0,29.49,30.2,12.4,3.0,12.9,2007,5,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2.0,2007-05-12,65.0,47.0,56.0,,37.0,46.0,9.0,0.0,-,-, ,,0.0,29.54,30.19,12.7,1.0,13.0,2007,5,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,2007-05-13,69.0,43.0,56.0,-2.0,33.0,46.0,9.0,0.0,0434,1902, ,0.0,0.0,29.49,30.24,6.6,14.0,8.1,2007,5,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2.0,2007-05-13,69.0,44.0,57.0,,32.0,46.0,8.0,0.0,-,-, ,,0.0,29.55,30.24,6.4,11.0,7.6,2007,5,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,2007-05-14,90.0,56.0,73.0,15.0,47.0,59.0,0.0,8.0,0433,1903, ,0.0,0.0,29.23,29.97,16.9,21.0,17.3,2007,5,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.0,2007-05-14,90.0,54.0,72.0,,45.0,58.0,0.0,7.0,-,-, ,,0.0,29.31,29.98,14.1,21.0,14.6,2007,5,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,2007-05-15,80.0,57.0,69.0,11.0,56.0,61.0,0.0,4.0,0432,1904,RA BR,0.0,0.38,29.13,29.84,8.1,27.0,12.3,2007,5,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.0,2007-05-15,82.0,56.0,69.0,,56.0,61.0,0.0,4.0,-,-,TSRA RA BR,,0.6,29.19,29.83,8.1,25.0,10.8,2007,5,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30,1.0,2007-05-16,66.0,44.0,55.0,-4.0,43.0,48.0,10.0,0.0,0431,1905,RA BR,0.0,0.14,29.33,30.03,7.8,36.0,12.2,2007,5,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2.0,2007-05-16,64.0,45.0,55.0,,42.0,47.0,10.0,0.0,-,-,RA BR,,0.07,29.39,30.03,8.0,36.0,11.8,2007,5,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0,2007-05-17,62.0,43.0,53.0,-6.0,32.0,43.0,12.0,0.0,0430,1906, ,0.0,0.0,29.55,30.27,10.5,3.0,11.3,2007,5,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2.0,2007-05-17,61.0,44.0,53.0,,32.0,43.0,12.0,0.0,-,-, ,,0.0,29.62,30.27,11.7,1.0,12.2,2007,5,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0,2007-05-18,71.0,42.0,57.0,-3.0,30.0,46.0,8.0,0.0,0429,1907, ,0.0,0.0,29.53,30.25,5.4,25.0,7.5,2007,5,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2.0,2007-05-18,70.0,43.0,57.0,,31.0,47.0,8.0,0.0,-,-, ,,0.0,29.6,30.26,3.4,22.0,5.5,2007,5,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0,2007-05-19,80.0,56.0,68.0,8.0,39.0,53.0,0.0,3.0,0428,1908, ,0.0,0.0,29.34,30.08,11.1,24.0,11.4,2007,5,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2.0,2007-05-19,80.0,56.0,68.0,,37.0,53.0,0.0,3.0,-,-, ,,0.0,29.41,30.08,11.1,23.0,11.4,2007,5,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.0,2007-05-20,69.0,43.0,56.0,-5.0,40.0,44.0,9.0,0.0,0427,1909,RA VCTS,0.0,0.07,29.38,30.11,10.4,4.0,10.7,2007,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39,2.0,2007-05-20,69.0,44.0,57.0,,41.0,45.0,8.0,0.0,-,-,TSRA RA,,0.11,29.44,30.11,8.6,3.0,9.7,2007,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
40,1.0,2007-05-21,80.0,44.0,62.0,1.0,50.0,56.0,3.0,0.0,0426,1910, ,0.0,0.0,29.33,30.06,6.3,11.0,8.2,2007,5,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2.0,2007-05-21,79.0,46.0,63.0,,50.0,57.0,2.0,0.0,-,-, ,,0.0,29.39,30.05,6.3,10.0,7.8,2007,5,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,2007-05-22,87.0,55.0,71.0,10.0,46.0,58.0,0.0,6.0,0425,1911, ,0.0,0.0,29.34,30.06,10.0,18.0,10.2,2007,5,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2.0,2007-05-22,87.0,60.0,74.0,,44.0,58.0,0.0,9.0,-,-, ,,0.0,29.41,30.05,10.1,16.0,10.6,2007,5,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.0,2007-05-23,89.0,60.0,75.0,14.0,49.0,61.0,0.0,10.0,0425,1912, ,0.0,0.0,29.39,30.1,11.4,19.0,11.8,2007,5,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2.0,2007-05-23,89.0,66.0,78.0,,48.0,61.0,0.0,13.0,-,-, ,,0.0,29.47,30.1,10.9,18.0,11.2,2007,5,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1.0,2007-05-24,88.0,63.0,76.0,14.0,54.0,63.0,0.0,11.0,0424,1913,RA HZ,0.0,0.02,29.41,30.11,14.9,21.0,17.3,2007,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2.0,2007-05-24,88.0,66.0,77.0,,53.0,63.0,0.0,12.0,-,-,RA HZ,,0.1,29.47,30.1,13.8,20.0,15.2,2007,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1.0,2007-05-25,70.0,56.0,63.0,1.0,44.0,53.0,2.0,0.0,0423,1914, ,0.0,0.1,29.51,30.24,4.9,5.0,8.8,2007,5,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2.0,2007-05-25,66.0,57.0,62.0,,46.0,53.0,3.0,0.0,-,-,RA BR,,0.09,29.57,30.23,4.5,5.0,8.2,2007,5,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1.0,2007-05-26,65.0,49.0,57.0,-5.0,55.0,56.0,8.0,0.0,0422,1915,TSRA RA BR HZ,0.0,1.01,29.36,30.11,2.8,17.0,7.2,2007,5,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
51,2.0,2007-05-26,70.0,50.0,60.0,,55.0,57.0,5.0,0.0,-,-,TSRA RA BR,,0.28,29.42,30.1,2.5,15.0,7.8,2007,5,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
52,1.0,2007-05-27,75.0,57.0,66.0,4.0,47.0,56.0,0.0,1.0,0422,1916,RA BR,0.0,0.04,29.34,30.06,8.9,26.0,9.5,2007,5,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2.0,2007-05-27,75.0,59.0,67.0,,49.0,57.0,0.0,2.0,-,-,RA BR,,0.08,29.41,30.05,8.2,24.0,9.2,2007,5,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.0,2007-05-28,79.0,50.0,65.0,2.0,47.0,56.0,0.0,0.0,0421,1916,RA,0.0,0.1,29.43,30.15,4.8,10.0,5.3,2007,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,2007-05-28,76.0,54.0,65.0,,49.0,57.0,0.0,0.0,-,-, ,,0.0,29.49,30.14,4.7,8.0,5.2,2007,5,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1.0,2007-05-29,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0421,1917,BR HZ,0.0,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.0,2007-05-29,88.0,65.0,77.0,,59.0,66.0,0.0,12.0,-,-,BR HZ,,0.0,29.44,30.09,5.8,16.0,7.4,2007,5,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1.0,2007-05-30,87.0,66.0,77.0,13.0,58.0,65.0,0.0,12.0,0420,1918,HZ,0.0,0.0,29.31,30.04,10.3,19.0,10.6,2007,5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2.0,2007-05-30,89.0,70.0,80.0,,57.0,66.0,0.0,15.0,-,-,HZ,,0.0,29.38,30.03,9.7,17.0,10.1,2007,5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1.0,2007-05-31,78.0,65.0,72.0,8.0,61.0,65.0,0.0,7.0,0420,1919,RA HZ,0.0,0.01,29.28,30.0,9.3,19.0,9.9,2007,5,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2.0,2007-05-31,80.0,68.0,74.0,,61.0,66.0,0.0,9.0,-,-,RA BR,,0.53,29.34,29.99,8.9,18.0,9.2,2007,5,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1.0,2007-06-01,85.0,62.0,74.0,10.0,63.0,66.0,0.0,9.0,0419,1920,TSRA BR HZ,0.0,0.19,29.19,29.91,4.2,17.0,6.4,2007,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,2.0,2007-06-01,86.0,67.0,77.0,,63.0,67.0,0.0,12.0,-,-,TSRA BR HZ,,0.21,29.25,29.9,4.7,16.0,5.8,2007,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,1.0,2007-06-02,81.0,65.0,73.0,9.0,63.0,67.0,0.0,8.0,0419,1920,RA BR,0.0,0.04,29.03,29.77,6.5,22.0,7.4,2007,6,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.0,2007-06-02,81.0,68.0,75.0,,62.0,67.0,0.0,10.0,-,-,RA BR,,0.1,29.1,29.76,7.5,21.0,8.2,2007,6,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,2007-06-03,78.0,62.0,70.0,6.0,60.0,63.0,0.0,5.0,0418,1921,TSRA RA BR HZ,0.0,0.01,28.82,29.56,5.2,25.0,6.7,2007,6,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
67,2.0,2007-06-03,77.0,64.0,71.0,,60.0,64.0,0.0,6.0,-,-,RA BR HZ VCTS,,0.32,28.87,29.54,4.9,24.0,7.2,2007,6,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
68,1.0,2007-06-04,71.0,58.0,65.0,1.0,58.0,60.0,0.0,0.0,0418,1922,TSRA RA BR,0.0,0.39,28.82,29.52,7.8,31.0,9.7,2007,6,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
69,2.0,2007-06-04,72.0,56.0,64.0,,57.0,60.0,1.0,0.0,-,-,RA BR,,0.31,28.88,29.51,7.9,30.0,10.1,2007,6,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.0,2007-06-05,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,0417,1923,RA BR,0.0,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2.0,2007-06-05,63.0,51.0,57.0,,47.0,52.0,8.0,0.0,-,-,RA BR,,0.27,29.16,29.78,6.2,3.0,8.1,2007,6,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,2007-06-06,71.0,44.0,58.0,-8.0,48.0,55.0,7.0,0.0,0417,1923,RA,0.0,0.01,29.07,29.81,10.8,17.0,11.4,2007,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2.0,2007-06-06,73.0,48.0,61.0,,47.0,55.0,4.0,0.0,-,-,RA,,0.1,29.13,29.82,9.6,15.0,10.6,2007,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,2007-06-07,91.0,71.0,81.0,15.0,62.0,69.0,0.0,16.0,0417,1924, ,0.0,0.0,28.84,29.55,22.7,20.0,23.1,2007,6,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2.0,2007-06-07,92.0,71.0,82.0,,61.0,68.0,0.0,17.0,-,-, ,,0.0,28.91,29.55,20.3,19.0,20.7,2007,6,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,2007-06-08,81.0,57.0,69.0,3.0,53.0,61.0,0.0,4.0,0417,1925, ,0.0,0.0,29.18,29.85,10.9,28.0,13.8,2007,6,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2.0,2007-06-08,81.0,63.0,72.0,,54.0,62.0,0.0,7.0,-,-, ,,0.0,29.24,29.83,9.3,26.0,12.4,2007,6,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1.0,2007-06-09,79.0,52.0,66.0,0.0,47.0,57.0,0.0,1.0,0416,1925, ,0.0,0.0,29.36,30.07,0.3,33.0,5.0,2007,6,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2.0,2007-06-09,79.0,57.0,68.0,,49.0,58.0,0.0,3.0,-,-, ,,0.0,29.42,30.05,2.4,19.0,4.7,2007,6,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1.0,2007-06-10,81.0,55.0,68.0,1.0,51.0,59.0,0.0,3.0,0416,1926, ,0.0,0.0,29.34,30.05,4.8,17.0,5.6,2007,6,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2.0,2007-06-10,81.0,61.0,71.0,,50.0,60.0,0.0,6.0,-,-, ,,0.0,29.39,30.04,4.6,16.0,5.8,2007,6,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1.0,2007-06-11,86.0,58.0,72.0,5.0,52.0,61.0,0.0,7.0,0416,1926, ,0.0,0.0,29.41,30.11,4.9,11.0,6.9,2007,6,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2.0,2007-06-11,85.0,65.0,75.0,,51.0,61.0,0.0,10.0,-,-, ,,0.0,29.47,30.09,6.6,9.0,8.4,2007,6,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,2007-06-12,83.0,62.0,73.0,5.0,50.0,60.0,0.0,8.0,0416,1927, ,0.0,0.0,29.44,30.16,8.3,5.0,8.8,2007,6,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2.0,2007-06-12,82.0,66.0,74.0,,51.0,61.0,0.0,9.0,-,-, ,,0.0,29.49,30.14,9.4,5.0,10.0,2007,6,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1.0,2007-06-13,87.0,60.0,74.0,6.0,53.0,62.0,0.0,9.0,0416,1927, ,0.0,0.0,29.36,30.09,7.2,5.0,8.6,2007,6,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1.0,2007-06-14,89.0,64.0,77.0,9.0,55.0,64.0,0.0,12.0,0416,1928, ,0.0,0.0,29.3,30.02,5.6,5.0,6.8,2007,6,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2.0,2007-06-14,89.0,68.0,79.0,,54.0,63.0,0.0,14.0,-,-, ,,0.0,29.36,30.0,5.9,7.0,6.4,2007,6,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
